Variation,visit_id,confirm,start,step_1,step_2,step_3,Complete_Status
Control,106955044_72064422285_844262,0,1,1,0,0,Not completed
Control,106973227_30712029071_656405,0,1,0,1,1,Not completed
Control,106991823_36926773912_894581,1,1,1,3,3,Completed
Control,106995782_27030237984_327384,0,1,0,0,0,Not completed
Control,107013155_69152812489_518523,0,1,0,0,0,Not completed
Control,10701368_33671322700_675209,1,1,1,1,1,Completed
Control,107016836_86308944528_107226,0,1,1,0,0,Not completed
Control,1070340_64433955447_943502,1,1,1,1,1,Completed
Control,107045394_54554679852_519448,0,2,1,1,0,Not completed
Control,10708236_91239323295_576087,0,2,0,0,0,Not completed
Control,107084877_94470350214_30033,0,1,2,1,1,Not completed
Control,107090185_43642799759_974372,1,1,1,1,1,Completed
Control,107101222_33639192678_690000,0,1,1,1,0,Not completed
Control,107117937_86456185680_313223,0,1,1,0,0,Not completed
Control,10721468_20141279440_61193,0,1,1,1,0,Not completed
Control,107222483_8242134100_684417,1,1,1,1,1,Completed
Control,107287518_41090694585_807317,0,1,0,0,0,Not completed
Control,107291547_22481134147_322645,0,1,1,1,1,Not completed
Control,10736492_51772568397_109044,1,1,1,1,1,Completed
Control,107410475_26947979579_355416,0,1,1,0,0,Not completed
Control,10748725_78351965784_819901,4,1,1,1,1,Completed
Control,107491241_30335965863_650052,0,1,1,1,1,Not completed
Control,107498847_67594416067_869316,0,1,1,1,1,Not completed
Control,10750371_16783231389_198484,0,1,0,0,1,Not completed
Control,10757496_53384070887_548622,0,2,0,0,0,Not completed
Control,107631330_22230037486_301416,2,2,2,4,8,Completed
Control,107641279_72757423441_432705,0,1,1,1,1,Not completed
Control,107667097_14492710514_779413,0,1,1,1,1,Not completed
Control,107670967_98557689633_256472,1,1,1,1,1,Completed
Control,107693237_96368288508_746463,1,1,1,2,1,Completed
Control,107737080_63213007869_706529,0,3,2,1,0,Not completed
Control,107745500_51184288287_394682,0,1,1,1,0,Not completed
Control,10781030_88249762808_198895,0,1,1,1,1,Not completed
Control,107812476_47194111740_635808,0,1,1,1,1,Not completed
Control,107847401_7196325027_942569,0,1,1,1,1,Not completed
Control,107887570_79926483891_235445,0,1,0,0,0,Not completed
Control,107923930_51697880023_129433,0,6,0,0,0,Not completed
Control,107975394_61350699882_375756,0,1,1,1,1,Not completed
Control,107979650_34224663479_846556,0,1,0,0,0,Not completed
Control,10799126_20438771706_410909,0,1,3,1,0,Not completed
Control,108007035_42230588940_891847,0,8,1,1,0,Not completed
Control,108088171_11964436695_942392,1,1,1,1,1,Completed
Control,108128640_13820221567_570627,1,1,1,1,1,Completed
Control,108132969_24758442202_975841,0,1,1,1,1,Not completed
Control,108145760_13278359025_220508,0,1,1,1,1,Not completed
Control,108152866_12655231835_411925,0,1,1,1,1,Not completed
Control,108160928_74041165668_179601,1,1,1,3,2,Completed
Control,108161221_20877587927_239966,0,1,1,1,0,Not completed
Control,108161488_96464153760_211971,0,1,0,0,0,Not completed
Control,10817171_50453956454_434089,0,1,0,1,1,Not completed
Control,108185369_27453506388_542429,1,2,2,2,2,Completed
Control,1081884_88414139180_854167,1,1,1,1,0,Completed
Control,10819387_86190387051_69793,1,1,0,1,1,Completed
Control,108207988_38370547354_997031,0,1,0,1,0,Not completed
Control,108212678_59610135958_492294,0,1,1,0,0,Not completed
Control,108214401_65824239803_226653,0,1,1,0,0,Not completed
Control,108228548_7807336072_380800,0,1,1,2,1,Not completed
Control,10823683_86056158289_300788,1,1,3,7,7,Completed
Control,108237565_57237624831_283658,0,2,1,1,0,Not completed
Control,108286673_85335884771_758576,0,6,0,0,0,Not completed
Control,108343432_22246836068_782936,0,1,1,0,0,Not completed
Control,108397960_79834715554_939840,1,1,1,1,1,Completed
Control,108500988_79780198274_257975,0,1,1,0,0,Not completed
Control,108554619_78952596421_643514,0,2,0,0,1,Not completed
Control,108602470_35414089006_811600,0,1,1,1,0,Not completed
Control,108619459_23424029815_711943,0,1,1,1,0,Not completed
Control,108631730_52513210497_452167,1,2,4,3,3,Completed
Control,108632786_58840162832_280089,1,1,1,4,4,Completed
Control,108658190_30518284885_125648,0,1,1,0,0,Not completed
Control,108686729_34233509984_14487,0,1,2,2,2,Not completed
Control,108690991_98901585957_570,0,1,2,2,1,Not completed
Control,10871633_1705641651_226934,1,2,1,1,1,Completed
