client_id,duration_count,duration_mean,Class
42349,1.0,29.0,Fast Passer
42725,1.0,28.2,Fast Passer
43494,2.0,510.625,Slow Repeater
43645,1.0,17.0,Fast Passer
43766,1.0,3.0,Fast Passer
44060,2.0,24.444444444444443,Fast Repeater
44216,3.0,28.857142857142858,Fast Repeater
44705,3.0,9.571428571428571,Fast Repeater
44860,1.0,31.25,Slow Passer
44932,1.0,27.6,Fast Passer
44995,1.0,7.5,Fast Passer
45131,2.0,43.458333333333336,Slow Repeater
45232,2.3333333333333335,678.0,Slow Repeater
45485,1.0,54.5,Slow Passer
45510,1.5,16.200000000000003,Fast Repeater
46223,1.0,27.75,Fast Passer
46790,2.0,3.5,Fast Repeater
46934,2.0,999.0,Slow Repeater
47402,1.5,501.5,Slow Repeater
47571,1.0,8.0,Fast Passer
47860,2.0,42.75,Slow Repeater
47933,1.5,5.333333333333334,Fast Repeater
48241,4.0,6.15,Fast Repeater
48424,1.3333333333333333,13.450000000000001,Fast Repeater
48431,1.0,31.25,Slow Passer
48448,2.0,16.166666666666668,Fast Repeater
48724,2.5,13.910714285714286,Fast Repeater
49412,1.0,20.11111111111111,Fast Passer
49450,2.0,31.125,Slow Repeater
49709,1.0,18.5,Fast Passer
49998,1.0,999.0,Slow Passer
50053,1.0,37.5,Slow Passer
50090,1.0,23.8,Fast Passer
50185,1.0,34.0,Slow Passer
50271,1.0,22.0,Fast Passer
50325,1.0,30.0,Fast Passer
50599,2.0,999.0,Slow Repeater
50643,1.0,512.75,Slow Passer
50692,1.0,999.0,Slow Passer
51493,1.0,24.75,Fast Passer
51526,3.0,6.0,Fast Repeater
51706,1.0,40.0,Slow Passer
51814,1.0,27.8,Fast Passer
51902,1.0,23.2,Fast Passer
52111,1.25,28.8,Fast Repeater
52309,2.0,20.714285714285715,Fast Repeater
52384,1.0,999.0,Slow Passer
52456,1.0,12.0,Fast Passer
52461,1.0,22.0,Fast Passer
52743,3.0,10.75,Fast Repeater
52765,1.0,44.2,Slow Passer
53094,1.0,44.6,Slow Passer
53123,1.0,23.5,Fast Passer
53126,1.0,19.8,Fast Passer
53169,1.0,999.0,Slow Passer
53396,1.0,18.2,Fast Passer
53990,1.0,50.25,Slow Passer
54231,1.0,36.0,Slow Passer
54291,1.0,44.6,Slow Passer
54363,1.0,26.4,Fast Passer
54477,1.0,999.0,Slow Passer
54893,1.0,13.8,Fast Passer
55059,1.0,27.4,Fast Passer
55265,1.0,38.875,Slow Passer
55333,1.0,24.166666666666668,Fast Passer
55448,1.0,353.5333333333333,Slow Passer
55951,3.0,999.0,Slow Repeater
56294,2.0,12.285714285714286,Fast Repeater
56529,4.0,24.625,Fast Repeater
56570,3.0,26.142857142857142,Fast Repeater
56782,3.0,4.4,Fast Repeater
56923,1.0,32.142857142857146,Slow Passer
58001,1.0,20.5,Fast Passer
58194,1.0,30.571428571428573,Slow Passer
58196,1.8,419.3166666666667,Slow Repeater
58456,2.0,7.8125,Fast Repeater
58589,1.5,24.05357142857143,Fast Repeater
58676,1.0,44.0,Slow Passer
58867,1.0,27.5,Fast Passer
58917,2.0,36.875,Slow Repeater
58962,1.0,29.833333333333332,Fast Passer
59089,2.0,33.833333333333336,Slow Repeater
59152,1.0,23.4,Fast Passer
59360,1.0,66.0,Slow Passer
